127.0.0.1 - - [05/Dec/2023:20:22:59 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [05/Dec/2023:20:23:08 +0900] "GET /GoroGoroCommunity/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2023:20:23:09 +0900] "GET /GoroGoroCommunity/main HTTP/1.1" 200 12905
0:0:0:0:0:0:0:1 - - [05/Dec/2023:20:23:11 +0900] "GET /GoroGoroCommunity/css/slide.css HTTP/1.1" 200 3241
0:0:0:0:0:0:0:1 - - [05/Dec/2023:20:23:11 +0900] "GET /GoroGoroCommunity/image/banner/banner.png HTTP/1.1" 200 9297
0:0:0:0:0:0:0:1 - - [05/Dec/2023:20:23:11 +0900] "GET /GoroGoroCommunity/image/banner/pinkPeko.gif HTTP/1.1" 200 265309
0:0:0:0:0:0:0:1 - - [05/Dec/2023:20:23:11 +0900] "GET /GoroGoroCommunity/js/slide.js HTTP/1.1" 200 8051
0:0:0:0:0:0:0:1 - - [05/Dec/2023:20:23:11 +0900] "GET /GoroGoroCommunity/image/uploadingPhoto.png HTTP/1.1" 200 675
0:0:0:0:0:0:0:1 - - [05/Dec/2023:20:23:11 +0900] "GET /GoroGoroCommunity/image/banner/smilingPekko.png HTTP/1.1" 200 316705
0:0:0:0:0:0:0:1 - - [05/Dec/2023:20:23:11 +0900] "GET /GoroGoroCommunity/image/bottom-bg.jpg HTTP/1.1" 200 30234
0:0:0:0:0:0:0:1 - - [05/Dec/2023:20:23:11 +0900] "GET /GoroGoroCommunity/image/banner/slide01.png HTTP/1.1" 200 46781
0:0:0:0:0:0:0:1 - - [05/Dec/2023:20:23:11 +0900] "GET /GoroGoroCommunity/image/banner/slide02.png HTTP/1.1" 200 75763
0:0:0:0:0:0:0:1 - - [05/Dec/2023:20:23:11 +0900] "GET /GoroGoroCommunity/image/banner/slide03.png HTTP/1.1" 200 71851
0:0:0:0:0:0:0:1 - - [05/Dec/2023:20:23:12 +0900] "GET /GoroGoroCommunity/image/favicon.png HTTP/1.1" 200 8558
0:0:0:0:0:0:0:1 - - [05/Dec/2023:20:23:30 +0900] "GET /GoroGoroCommunity/board/read?&postNo=181 HTTP/1.1" 200 16119
0:0:0:0:0:0:0:1 - - [05/Dec/2023:20:23:31 +0900] "GET /GoroGoroCommunity/image/convenientStore.png HTTP/1.1" 200 328899
0:0:0:0:0:0:0:1 - - [05/Dec/2023:20:23:31 +0900] "GET /GoroGoroCommunity/image/sameThoughtButton.gif HTTP/1.1" 200 2361
0:0:0:0:0:0:0:1 - - [05/Dec/2023:20:23:31 +0900] "GET /GoroGoroCommunity/board/image/favicon.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Dec/2023:20:35:51 +0900] "GET /GoroGoroCommunity/board/read?postNo=181 HTTP/1.1" 200 16119
0:0:0:0:0:0:0:1 - - [05/Dec/2023:20:35:51 +0900] "POST /GoroGoroCommunity/board/like HTTP/1.1" 200 239
0:0:0:0:0:0:0:1 - - [05/Dec/2023:20:35:55 +0900] "GET /GoroGoroCommunity/board/main?boardNo=8 HTTP/1.1" 200 13849
0:0:0:0:0:0:0:1 - - [05/Dec/2023:20:35:55 +0900] "GET /GoroGoroCommunity/image/candy.png HTTP/1.1" 200 158474
0:0:0:0:0:0:0:1 - - [05/Dec/2023:20:35:58 +0900] "GET /GoroGoroCommunity/main HTTP/1.1" 200 12905
