127.0.0.1 - - [08/Apr/2025:22:50:44 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [08/Apr/2025:22:50:56 +0900] "GET /GoroGoroCommunity/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Apr/2025:22:51:08 +0900] "GET /GoroGoroCommunity/main HTTP/1.1" 200 14569
0:0:0:0:0:0:0:1 - - [08/Apr/2025:22:51:09 +0900] "GET /GoroGoroCommunity/image/banner/banner.png HTTP/1.1" 200 9297
0:0:0:0:0:0:0:1 - - [08/Apr/2025:22:51:09 +0900] "GET /GoroGoroCommunity/js/slide.js HTTP/1.1" 200 8051
0:0:0:0:0:0:0:1 - - [08/Apr/2025:22:51:09 +0900] "GET /GoroGoroCommunity/css/slide.css HTTP/1.1" 200 3241
0:0:0:0:0:0:0:1 - - [08/Apr/2025:22:51:09 +0900] "GET /GoroGoroCommunity/image/banner/pinkPeko.gif HTTP/1.1" 200 265309
0:0:0:0:0:0:0:1 - - [08/Apr/2025:22:51:09 +0900] "GET /GoroGoroCommunity/image/banner/smilingPekko.png HTTP/1.1" 200 316705
0:0:0:0:0:0:0:1 - - [08/Apr/2025:22:51:09 +0900] "GET /GoroGoroCommunity/image/bottom-bg.jpg HTTP/1.1" 200 30234
0:0:0:0:0:0:0:1 - - [08/Apr/2025:22:51:09 +0900] "GET /GoroGoroCommunity/image/banner/slide02.png HTTP/1.1" 200 75763
0:0:0:0:0:0:0:1 - - [08/Apr/2025:22:51:09 +0900] "GET /GoroGoroCommunity/image/banner/slide01.png HTTP/1.1" 200 46781
0:0:0:0:0:0:0:1 - - [08/Apr/2025:22:51:09 +0900] "GET /GoroGoroCommunity/image/banner/slide03.png HTTP/1.1" 200 71851
0:0:0:0:0:0:0:1 - - [08/Apr/2025:22:51:25 +0900] "GET /GoroGoroCommunity/board/main?boardNo=6 HTTP/1.1" 200 15640
0:0:0:0:0:0:0:1 - - [08/Apr/2025:22:51:25 +0900] "GET /GoroGoroCommunity/image/uploadingPhoto.png HTTP/1.1" 200 675
0:0:0:0:0:0:0:1 - - [08/Apr/2025:22:51:25 +0900] "GET /GoroGoroCommunity/image/candy01.png HTTP/1.1" 200 158474
0:0:0:0:0:0:0:1 - - [08/Apr/2025:22:51:28 +0900] "GET /GoroGoroCommunity/main HTTP/1.1" 200 14569
0:0:0:0:0:0:0:1 - - [08/Apr/2025:22:52:04 +0900] "GET /GoroGoroCommunity/member/signUp HTTP/1.1" 200 20719
0:0:0:0:0:0:0:1 - - [08/Apr/2025:22:52:04 +0900] "GET /GoroGoroCommunity/js/validation.js HTTP/1.1" 200 142
0:0:0:0:0:0:0:1 - - [08/Apr/2025:22:52:04 +0900] "GET /GoroGoroCommunity/image/Camping.jpg HTTP/1.1" 200 148093
0:0:0:0:0:0:0:1 - - [08/Apr/2025:22:52:16 +0900] "GET /GoroGoroCommunity/member/image/favicon.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Apr/2025:22:58:31 +0900] "GET /GoroGoroCommunity/main HTTP/1.1" 200 14569
